EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,FirstName,LastName,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,DepartmentName,StartDate,EndDate,Status
1,18,14417807,Guy,Gilbert,Production Technician - WC60,2006-01-28,1981-11-12,adventure-works\guy1,guy1@adventure-works.com,320-555-0195,M,M,1,12.45,21,30,1,Production,2006-01-28,NULL,Current
2,7,253022876,Kevin,Brown,Marketing Assistant,2006-08-26,1986-12-01,adventure-works\kevin0,kevin0@adventure-works.com,150-555-0189,S,M,2,134.615,42,41,1,Marketing,2006-08-26,NULL,Current
3,14,509647174,Roberto,Tamburello,Engineering Manager,2007-06-11,1974-06-12,adventure-works\roberto0,roberto0@adventure-works.com,212-555-0187,M,M,2,432.692,2,21,1,Engineering,2007-06-11,NULL,Current
4,3,112457891,Rob,Walters,Senior Tool Designer,2007-07-05,1974-07-23,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,M,2,298.462,48,80,1,Tool Design,2007-07-05,2009-12-28,NULL
5,3,112457891,Rob,Walters,Senior Tool Designer,2007-07-05,1974-07-23,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,M,2,298.462,48,80,1,Tool Design,2009-12-28,NULL,Current
6,267,480168528,Thierry,D'Hers,Tool Designer,2007-07-11,1959-02-26,adventure-works\thierry0,thierry0@adventure-works.com,168-555-0183,M,M,2,25.00,9,24,1,Tool Design,2007-07-11,NULL,Current
7,112,24756624,David,Bradley,Marketing Manager,2007-07-20,1974-10-17,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,M,2,37.50,40,40,1,Marketing,2007-07-20,2009-02-11,NULL
8,112,24756624,David,Bradley,Marketing Manager,2007-07-20,1974-10-17,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,M,2,37.50,40,40,1,Marketing,2009-02-12,NULL,Current
9,23,309738752,JoLynn,Dobney,Production Supervisor - WC60,2007-07-26,1955-08-16,adventure-works\jolynn0,jolynn0@adventure-works.com,903-555-0145,S,F,2,25.00,82,61,1,Production,2007-07-26,NULL,Current
10,189,690627818,Ruth,Ellerbrock,Production Technician - WC10,2007-08-06,1956-01-03,adventure-works\ruth0,ruth0@adventure-works.com,145-555-0130,M,F,1,13.45,83,61,1,Production,2007-08-06,NULL,Current
11,3,695256908,Gail,Erickson,Design Engineer,2007-08-06,1952-04-27,adventure-works\gail0,gail0@adventure-works.com,849-555-0139,M,F,2,326.923,5,22,1,Engineering,2007-08-06,NULL,Current
12,189,912265825,Barry,Johnson,Production Technician - WC10,2007-08-07,1955-10-25,adventure-works\barry0,barry0@adventure-works.com,206-555-0180,S,M,1,13.45,88,64,1,Production,2007-08-07,NULL,Current
13,3,998320692,Jossef,Goldberg,Design Engineer,2007-08-24,1958-10-09,adventure-works\jossef0,jossef0@adventure-works.com,122-555-0189,M,M,2,326.923,6,23,1,Engineering,2007-08-24,NULL,Current
14,112,245797967,Terri,Duffy,Vice President of Engineering,2007-08-31,1971-03-01,adventure-works\terri0,terri0@adventure-works.com,819-555-0175,S,F,2,634.615,1,20,1,Engineering,2007-08-31,NULL,Current
15,189,844973625,Sidney,Higa,Production Technician - WC10,2007-09-02,1956-03-30,adventure-works\sidney0,sidney0@adventure-works.com,424-555-0189,M,M,1,13.45,84,62,1,Production,2007-09-02,NULL,Current
16,23,233069302,Taylor,Maxwell,Production Supervisor - WC50,2007-09-08,1955-10-31,adventure-works\taylor0,taylor0@adventure-works.com,508-555-0165,M,M,2,25.00,79,59,1,Production,2007-09-08,NULL,Current
17,189,132674823,Jeffrey,Ford,Production Technician - WC10,2007-09-20,1956-02-09,adventure-works\jeffrey0,jeffrey0@adventure-works.com,984-555-0185,S,M,1,13.45,85,62,1,Production,2007-09-20,NULL,Current
18,23,446466105,Jo,Brown,Production Supervisor - WC60,2007-09-27,1956-05-08,adventure-works\jo0,jo0@adventure-works.com,632-555-0129,S,F,2,25.00,80,60,1,Production,2007-09-27,NULL,Current
19,189,565090917,Doris,Hartwig,Production Technician - WC10,2007-10-09,1955-11-03,adventure-works\doris0,doris0@adventure-works.com,328-555-0150,M,F,1,13.45,86,63,1,Production,2007-10-09,NULL,Current
20,23,494170342,John,Campbell,Production Supervisor - WC60,2007-10-16,1956-03-07,adventure-works\john0,john0@adventure-works.com,435-555-0113,M,M,2,25.00,81,60,1,Production,2007-10-16,NULL,Current
21,189,9659517,Diane,Glimp,Production Technician - WC10,2007-10-27,1955-10-28,adventure-works\diane0,diane0@adventure-works.com,202-555-0151,M,F,1,13.45,87,63,1,Production,2007-10-27,NULL,Current
22,177,443968955,Steven,Selikoff,Production Technician - WC30,2008-07-01,1976-12-12,adventure-works\steven0,steven0@adventure-works.com,925-555-0114,M,M,1,9.50,41,40,1,Production,2008-07-01,NULL,Current
23,112,277173473,Peter,Krebs,Production Control Manager,2008-07-01,1982-06-03,adventure-works\peter0,peter0@adventure-works.com,913-555-0196,M,M,2,245.192,43,41,1,Production Control,2008-07-01,NULL,Current
24,201,835460180,Stuart,Munson,Production Technician - WC45,2008-07-02,1962-04-13,adventure-works\stuart0,stuart0@adventure-works.com,413-555-0136,S,M,1,10.00,84,62,1,Production,2008-07-02,NULL,Current
25,201,687685941,Greg,Alderson,Production Technician - WC45,2008-07-02,1975-11-15,adventure-works\greg0,greg0@adventure-works.com,332-555-0150,S,M,1,10.00,85,62,1,Production,2008-07-02,NULL,Current
26,188,498138869,David,Johnson,Production Technician - WC30,2008-07-02,1979-06-02,adventure-works\david1,david1@adventure-works.com,166-555-0162,S,M,1,9.50,25,32,1,Production,2008-07-02,NULL,Current
